kalimat,status
eh ohhh uuuh uuuh iih aah eh uh aaah ooh ehhh uuh ahh ahh oooh aaah ehh ehhh oooh uhh ohhh iiih iih eeeh ohh,2
ehh ihh ehh eeeh eh oh ahhh uhh ohh ih uuh uhh ooh ahh uhhh,2
ihh ooh uuh ihh uuh eh ooh ehhh ahh eeh ahh uuuh oh uuh eeh ehhh eh ih ihhh ih ihhh eh ohh eh ih iih ahh,2
uhh uuh iiih ihhh ihhh eeh ahhh oooh,2
eh aaah ehhh uuh ehh eeeh ohh eeh ehh uh ehhh oh iiih ahhh oooh eeeh uuuh uh eeeh,1
iih ahh ooh ooh uuh uuh ih eeeh,2
iih aah ahhh ih iiih iiih eeh ihhh ihh ooh ooh uhh uhh,2
aaah ehhh ihhh uuh ohh uuuh uuh ooh ooh uhh ahh ooh,2
uuh ahh uhhh iih ooh uh oooh uh uhhh aaah uhh uhhh uh iiih uh ah,0
ihhh ohh ohhh ehh ooh oooh oh ah ah uuuh aaah uuh ooh ahhh uuh ah eeeh aaah ih aah ihh oh eh uuh ihhh aah ihhh,2
uhhh iih aah uh oh ohh iiih ihhh ohh ahh ehh ahh ehhh oooh oh ehhh,2
ahhh ah aaah ooh ohhh ihhh eh ooh aaah ohh ooh ih ihh ehh uh ehhh uuuh ehhh ooh aah,2
ehh uh uuh ahhh ehhh uhhh oh ohh uuh ohhh aaah ahh eh uuuh ihh uhhh eeeh uuuh ooh oh ooh,0
ah uhh ohhh ehhh uuuh ihhh uh uuh ahhh eh eeeh uuuh uh uhhh ah uuh uh eh iiih iih ah iiih ihh uuh ihhh iiih ohh uh eeeh,2
uhh ihhh eeeh uuh ah eeeh eeeh uhhh ihhh aah iih uh uh ehh aaah ah aah uhhh ahh ih eeeh ihh ehhh ehhh uuh ihhh eeeh,2
ihhh oh ooh oh ohh iih uuuh uhh uh ooh eeeh,2
aaah ihh uh eh eeh ah iih eeh,0
ih uuuh iiih ihhh uuuh eeeh uhh eeeh ih uuh ihh iih uh ehh eeeh oh oooh iiih oooh ihhh oooh ohh ohh ihhh aaah,2
oooh ehhh oh ihh ih uh ahh iih ahhh uhh ahhh uhhh uuuh eeeh eeh uhhh oh ah uuh ihh ooh oh ooh uuh oh ehh uhh uh ih,0
eeh uuuh ahh ohh uh eeeh ihhh eh uh eh eeeh aaah iih ihh eeh ahhh ooh ehhh ahhh eeeh ooh ooh uhh eh ooh uuh iiih,2
ehhh ah uhhh ehhh ahhh ih eeeh uuh aah aaah ah eeh uuh uhh aah ahh uhh eeeh,2
ahhh oh iiih ihh ohh oh aah uuuh ah ihhh iiih ih uuh ihh uuuh oooh eeeh aah,1
ihh iih uhh uh oooh oooh eeeh ehhh aah uhh ohh eeh ih uuh oh oooh oh ihhh ihh ehh iih,0
aah ahh iiih uh uuh eh iih ihhh ihhh ehh uh ehhh ah ooh oh ohhh uuh oooh ooh oh iih,2
ahh iiih eeeh uhh ihhh uuh ohhh iih,2
ah ooh ahhh iih ehh uhh ehh uuh ehh oh ihhh iiih uhh eeh ahhh ihh eeh aah ihhh ih eeh aaah oooh oh iiih eh oh uh ahhh,0
aah ohhh iiih uhh eh ohhh oooh uhh uh ihhh uuh iiih oh ah eh eh ihhh aaah uh oooh aah ooh uh uhh ih eeh ahh,2
ih ahh ihhh uuh ohhh ihh oh uuh uuuh oh eh ihh ihh eeeh ahh ah oh uuh uuuh ihh ah,0
ihhh ooh aah aah ehhh ah uuh ihhh uuuh ohh uhh iih ah uuuh aaah ohhh aah iih ehh ihh iih ahh eeh,1
oh oooh ehh ahh eeh aaah ih ihh aaah,0
ooh eeh eh uuh eh aaah ih ohhh aah ehhh ih ehh,2
ihh ehhh uhh ooh ehh ooh uh ihhh uh uhhh ah ihhh ohh ihh ah ehhh ohh oooh uhhh ah ehhh aah,1
uuh ahh uuuh oooh eeeh uhhh ohh uuh uuuh ahhh ah iih ah ooh ahh oooh uuh ihhh ihh aah uuuh oooh aaah ihhh uh aah oh aaah ehh,0
ih iih eh ih uhhh ohhh uuh aah aah uhh iih uuh eeeh ohh ohh ah aaah uhhh oh oh ahhh ihh iih eeeh uhhh ooh iih iih oooh,0
oh iih ahhh oooh eh aah ehhh ehh aaah ehh ohhh ahh ihh ohh eeh ehhh iiih uh eh eeh ehhh uhh oooh ohh ehh,0
oooh oh ooh ooh ahhh ahh eeeh eeh ihhh uuuh ohh ahhh iiih iih uh ihh eh ahh eeeh eeeh,2
ih iiih ahh ahh uuuh ehh aah,2
aaah ehh uh eh ih eeh eeh uuuh ehh,0
ahhh ihhh ahh iiih ihh iiih uuh ehhh iiih ahh iiih aah ahh ooh ih uuuh ooh,2
ohh ohh eeeh aah eh ihhh ohhh ohh uuh eeeh uh ohhh ahh uuuh eeeh eeh uhh,2
uhhh iiih uhhh uhhh ihh ahh uhh ehh oooh iih uh ooh uh uhh ihhh ahhh eeeh,0
ehhh uh ooh ihh aah iiih uuh ihh ohh ih eh,2
eeeh ah oh oh ohhh iiih ihh eeh uuh uuh ohhh uh uhh aah uhhh uh ooh ahh eeeh uhhh,0
ehh uhhh ohhh ohhh ihh ohhh oooh ahh ohh uuuh ih ah iih aah iih ooh ohh aah oh ihh oooh uuuh,0
eh oh ohh uhhh aah eeh iih iih ahh ah ooh oh eh eeh eh oh ah ahhh ihhh ih uuh,1
oooh aaah ooh ehhh aah eeeh ah uhhh ihhh uh ohh ihh iih uhhh iih ahh uhh iiih uh ehh uhhh ehhh ooh ooh,1
ahhh iih ahh ohh ohhh ohh ohhh aaah oh oooh oooh aah ehhh ooh eeh aaah,0
oh uh ah uuuh oh eh aaah oh aah uhh ah eeh eeh ahhh ehh ahhh uh,0
ahhh ahhh ih oooh ahh ahhh,0
ohh uuh eeh uuuh ehhh ehh ohh uuh eeh ooh ehhh ohhh eeh aaah oooh ahhh ahh ohh iih ahhh ahhh eh ahhh ahh oooh eh uuuh ih,0
ehhh uuuh eeh eeeh uhh ehh oh uuh ohhh ah ehh oh uhhh eeh aah iiih ih ehh eeeh ahhh ahh uhhh iiih uhhh uuh eeh uuh ih,0
eeeh ehh eh iiih eeh ehhh uuh iiih uhh ehh uh aah ohh ahh ah ehh uhhh ohh ahhh ooh iih aaah uuh uuuh ohh iiih ahhh uhh,2
eeh ehhh aaah oooh uhh uhh ooh ohh oooh ehh eeh eh aah uhhh ohhh,1
uuh uhhh uuh uhh iiih ahhh ehhh ohh ahh ih aah ooh oh,2
eeeh aah aaah oh aaah iih oh ah ohhh iiih ih ahhh uhh ihhh uhh ihh ahhh aaah uhh ih eeeh uhhh ihhh ehh uhhh uuuh eeeh,0
ihh eh ehh ih ooh ahhh aaah uuuh ohhh eh uuh ehh eeh ihh ohhh ihh ihh,0
oh ehhh ooh aaah uuuh iih iih aah ihhh ah ih iih ihh ehh ahh ihh uhh iih iih ohhh ahhh uhhh ah,0
uhh iiih ehh ohhh uhhh ahhh oooh ohh uh eeeh uh uuh uuuh oh oooh ih ohhh oh eeh ahhh ahhh ehh,0
ooh uh eeh ehh ahh uuh uuuh ahh oooh ohh ehhh ohhh eeeh ihh uuh ohh iih,2
ooh iih ohh eeh ohhh ih oh uhhh ahhh uh ahhh ohh ih ah uuh uuh ahhh aaah eeeh ohhh uhh,0
ihhh eeeh uh ohh uuh uuh oh aah eeh aaah oh ehh oh ihh ahh iiih ihhh ihh oh ohh eeeh iih ihh uuuh ohhh uhh,0
uuh ihh ahh ahh ihh ih ahhh ihh aaah uuh eeh eeh ah ihhh ehhh oh,0
iiih iiih ihhh eeh ohh ihh eeh,2
uhh ahh uhhh oooh ehhh aaah ah ehhh ohhh iih,0
uuh eeeh uh ooh uuuh ohh ehh ih ahh oooh aah oooh eeeh iiih ehh uuh ohh,2
iiih uuuh oooh ahhh iiih ohhh eeeh ihh ahhh ah ah ihh ohh eeeh aaah ih ahh aaah,0
ohhh ahhh ehh ihhh aah ihh ohhh oh ih oooh eeeh ihhh iiih ihhh ohh oooh,1
oh ih eh ahhh uhh ehh eeeh uh ehh ohh oooh ahhh eeeh uhhh uh aah eeeh ih oooh ohh ih aah oooh ooh,2
uh iiih ehh eeeh ihh ihhh uhh aaah eeh eeeh ahhh,1
uh ih ahhh uh ahhh ohhh iiih ooh ih uuh,1
aaah oh ehh aaah ah aaah aah ihhh uuuh eeeh uhh iih uuuh ehhh eeh oooh ehh uhhh ih eeeh uhhh ihh aaah uuuh ohhh,0
ahhh ohhh ihhh iiih aah oh uuuh eeh iih oooh,0
oh aah ih ahh ahhh eeh ahhh oooh uh uhh iiih uuuh uhh aah iiih ah,1
oh iih ih ohh oh oh uhhh ihhh ehhh aaah iiih ooh aah ahh ehh,2
uuh ooh ohh ohh iih uhh uhhh eh oh ihh ohhh ooh uuuh ah aah eeeh ih eh ihh iiih,2
eeh oooh iih uuh iiih ohhh iiih ihhh eeh ahh aah ehhh eeh ohhh uh ahh iiih aaah uuh oooh,1
eeeh uhh iih ehhh oooh uh iiih ah oh ihhh eeeh ahhh uuuh,1
uh aah ehhh eeeh ihh ooh aah eeh uuh ah ihh aah oooh uuuh ihhh,2
eeh ahhh ahh iiih aah eh oooh oh uhh ehhh eh aah eeeh iih ohhh ehhh ohh,2
oh uuuh ehh uuuh eh uh ahh ohhh ehhh,0
ohh eh uhh ehh ahh eeeh,2
iih iiih iiih ih eeh iih oooh eeeh ihh ohh ahh eeeh uhh eeh eh oh iiih eh ehh oh ohh iih aaah ih,2
oh aaah ooh ehhh uh oh ih,1
eeeh ah ih ah eeh eh ahhh aah oh oh oooh oooh eeeh uhhh eh ohh ahh eh,1
uhh iiih ooh uhh uuuh ihhh ahhh ehh uh ah uhhh iiih ih ooh uh oh eh ih uuh eh uhhh ahhh uuh iiih ihh,2
eeeh iih eeh iiih ahh oh ehhh iih eeeh ohh aaah ihh ooh ehhh ehhh ehh iih iih eeh ahhh aah ahh ooh aah iiih uh ahh ooh ehhh uh,2
ihhh uhhh eeh eh ehh ohhh ih ih eeeh uhhh uuuh ahh ooh ooh iiih ih eeeh ihhh eh ihh ohh uhhh uhhh ih,2
ih uhhh ohhh eeh ooh aaah ihh uhh iiih eeh ohhh ah,0
ehh ahhh ahh ehh eeeh ehhh ooh aah ehh aah ooh ehh aah eeh iiih iiih eeeh iiih ehh ihh,2
ihhh eeh iiih oh ohhh ahhh ohh aaah aaah uuh ihhh ih ihh uhhh uuuh eeh ahh aaah ohhh uuuh aah,0
oooh eeeh ohhh ahhh uhhh uh aaah uuuh ahhh ihhh ahh uhh iih aah eeh ihh eh uuuh ehhh ahhh ih ooh oooh ih iiih ah ooh uuh uhhh,0
ehh ahh uhhh ihh ah eeeh oooh uhhh uhh oh ohhh uuuh eeeh ohh ih ah ah ehh ahhh ihhh aaah ahh,0
uuuh aah ih oooh ihh ihhh ah aaah uhh uh ahhh aah ooh iiih oh ahhh ahhh uh ohh ahhh,0
uuh uh oooh ahh eeh ooh oooh uhh,1
uh ehhh eh eeh ihh aaah ahhh ohhh ohhh ah iiih uhhh,0
ehh eeh ih ahhh eeeh ooh iih ehh eeeh ih eeeh,2
eeh eeeh ihh ah uuh,1
ohhh uuuh ih oh eeh iih uuh ehhh uuuh ohh ihhh eeeh ooh ah uh oh oh uhh ah ihhh ehhh eh uuh uhh ihh ooh ah ehh ohhh oh,0
ooh ohhh uhh ihh ihh iiih ihh aaah eeeh aah aaah iih ohh ooh uh ahh oh eeeh ohh oooh ooh ohh,2
eh ahhh eeeh aah ehhh ooh uh eeh uhhh ehh iiih oooh ah ahh ihhh aaah uuuh ooh oooh uhh aah eeh eeeh ahh iiih iiih,2
iih ahhh oh ihh iiih uhhh uhh ohh uh uuuh uhhh eeeh ahhh uuuh uuh iih ihh,0
uuuh oh ohhh eeeh eh aah ooh ahh ih uuh ihhh ihhh ih ohhh,2
ihhh aah ohh aaah iiih ooh uhh ihh ehh ooh ah uuh ohh ihhh uhhh,2
ohhh uuh eh ahh aah aaah eeh ahh eh uh aah uhhh ehh ehhh ahh,2
uhh ah ah ohh oooh ahhh ehh oooh aah ihh iiih ohh ah eh ah ihhh eeh uuuh aaah iih iiih ohhh iiih ihh iiih eh ahhh eh,0
ih uuh oh uhh uhh ihh ehh iih oh ohh ih uuh ohhh ihh ehh eh uhh aaah eeh ahhh eh uh iih aaah ehh,0
ihh ihhh ehhh ehh aah uhhh uuuh ehhh uhhh iiih oooh ah ih ahh uhh ih ehhh,2
eh ah ahh eeh iih uhh ooh ahh ihhh uhhh ohhh ihh ooh ahh aaah uuh ahh ahh aah aaah eh uuuh uhhh ahhh oooh ihh ihhh ehhh,2
eh iih uuuh oooh ooh uuuh eeeh eeh eeh uuh ehh eeeh eh uhh aaah ah ohhh ahh uhh iih uuh aaah ahhh aaah oooh ahh ihh ehh,0
ohhh eh ih ehhh ohh ahh ooh ohhh ooh oooh ah,2
ohhh ihh ihh ihh iiih iiih ohhh ohh iih ooh eeeh ahhh aaah ehhh uh iiih uhh aaah eeeh uh oooh ahhh ooh ehhh iih uh ihhh oh eeh,0
iih ooh uuh uh uuh iih ehh ehhh ahh eeh eeh ihh iih iiih iih,0
ihhh ih ehh ohh ihh iih uuh uhhh ih iih oooh ah ihh ehh eeh uhh ohh iih eh aah oooh,0
eh eh uuuh ooh eeeh uuuh oh ohhh uuh oooh ihhh eeh aaah ahh eeeh eeh oh ahhh iih uuuh uhhh uuh,0
ahh ahh eeeh aah ooh ohh aah oh ihhh eeeh,2
oooh uuuh aah ah uuuh ehh aah uuh uh oh ahh uuuh ooh iih eh eeh ehh ooh oh aaah uuuh,0
uuh ahhh uhhh ahh oh ihh eh aah ihh,1
ahhh oh iih ahh oh uh uh aaah eeh ahh eeeh ahh oh ehhh eeeh iiih ih ihhh ehhh ooh uuh,2
iiih uuuh ihh eeh uh oh ehh aaah,0
ahhh ooh eeeh ohhh ehh iih aah aaah uhh uhh ohhh uuuh iih ooh ahh uuh uuuh aah uuuh aah iih oooh ehhh oooh oooh eh ahh ohhh uhhh eeeh,0
ah ehh uuuh eeeh eeeh ahhh ah aah ohh ooh ihhh ihh ihh aah ihhh ehhh uhh ooh aaah ooh uhh oooh uuuh ooh aaah eeh ah ihhh uhh,2
ohhh uh aah eh ih eeeh ihhh ehhh aaah uuh uuuh aaah eeh ohhh eeeh,2
uh ooh iih oh uuuh uhh ah uuuh ohh eeeh uuuh oh ooh ehhh ihh uuuh ihh ih uhh oooh ahh aah ahh ooh eh uuuh eh ohh oh ehhh,2
iih oh ehhh ahh uhh oh uuh ooh ahh,2
uhh oooh uuuh ahhh ehh uuuh ihh ooh ihhh ihhh uh,0
oooh uuuh uh ih ahh uuuh iiih ih oh uhhh eh iiih,1
ihh ahh ah ehhh oh eh iiih aah ihhh uh ah ohhh ih uuh ohhh ihhh ihh aah uhh iih oooh ohh ohhh aah aah ahh ihhh uh ihhh eh,2
ihhh eeh uh ahh aaah uuh aah ahh ahh ahhh ih ohhh oh ahh aaah ihhh eeh ahhh uh aah ih eh,2
uhhh ohh uuh eeh ahh iih eh eh iiih ihhh,2
ahhh ah uuuh aah eeh oh ahh ihh ahh eh ehhh eh ihh,1
uh iiih aaah ohh eeeh aaah ahhh eh,1
oh iiih uh oh ohhh ahh oh aaah aaah aaah uuuh eeeh aah oh ehhh uuh eeeh ih ihhh oooh uhh ihhh,1
oh ihhh aah aah eeeh iiih iiih aaah,2
ehhh uh iih oooh ehh uuh iih uuuh ooh aaah ohhh iiih eh eeeh uuh ahh eeeh iiih uh eh ehh eeh uuh uh ihhh iih ah ah uuh uhhh,0
uhh iiih ahhh ah ih uhhh ih ehh eeeh ihh oooh eeh uuuh ehh ehhh uuuh uhhh ehhh oooh ehh iiih ohh uuh ah ahh uuuh ehh ihh,0
ohh ahhh ahh ah uuuh ihh uhh ahhh eeh iih uhhh,0
ahhh uh ah ahh ah oooh ehhh ihh ohhh ehh eh ohh ohhh uhh oooh ihhh eeh ihhh eeh ohhh iih uh iiih uh,0
uhh eh ahh oooh ehh ahh eeeh ihh ihh iiih uuh ah aah uuh ah aah ooh oooh eh,2
ooh eh iih ehhh oooh uhh ah eeh aah aaah iih uhh aah ohhh oh ahhh ahhh ihhh ohh eeh uuuh,0
oh eeh oh oh ohh uuuh ahh uuuh ihh ohh ohh eh eeh eh iih ah ih uh eeh uuh iih,0
ahh ah uuh ah aah ahhh eeeh iih aaah iiih ih ooh ah uhhh uhhh,1
ah uh ihhh uuh uh eeeh,1
uuh ih ehhh uuuh ih uuh ihh uuuh ehh eeh iih,1
ah uuh ehh uhhh uuh,1
eh ihh ohh ohh aah ehhh ahh eh ohhh uuuh iiih aaah aaah uh eh ooh ah iih ehhh ah eh ih ahhh uhh,2
oh uuh uuh ihhh ahhh ahh ooh eeeh oooh uuuh uhh iih ah ih ahh oooh uuh ahh oh uhhh oooh ohhh eh ahhh eeeh ihh ohh,2
ihhh aaah oooh ihh ih ihh ihhh aah iih ohhh ihhh ihh ohh,1
aaah ooh ohh eh aaah,2
iih ahhh uh ih oooh iih,0
ihh ahh uuuh ihh iih ooh uh eeh uuuh ohh ehhh ehhh iih ohh ihh eh ohhh eh aah uuuh ah ohhh ohhh ehhh uuh eeh,0
uhh eh eh iiih aaah ah uhhh iih iiih uhh uhh ihhh ehhh ihhh ihh,2
uhhh ihh uuh ooh ohh iiih uhhh ohh ohh eeeh eh ehhh iih ohh ihhh uhh ahh ih eh ah iiih iih iiih ihh ehhh iiih ah uuuh ohhh uh,2
ah ohh ihh ih aah ahh iiih ahh ohhh uh uhh,2
ihh ooh eeh ihhh ahh ehhh uhh ahh ooh eeh oooh oooh uuh ah ooh uhh uh eh ihhh uhh uhh oooh ah,2
ehh uhh ihh aaah ehhh ohhh ahhh oh oh uhh ohhh ehh ahh ihhh ihhh uuh uuuh iih ahhh ahhh ahh uuuh ehhh ihhh uuh eeh iih ihhh,0
oooh ehhh uhhh ehhh ehhh ihhh ih ihh ehh ihh uh eeh ihh eh iiih eeeh uuuh oooh eeh ehh ehh aah ihhh ahhh,0
ehhh iih ohhh ehh eeeh uuh ihhh ahh iiih ooh ahh eeeh uhh eeh ehhh eh,2
aah uuh uh eh uhhh ohhh ahhh aah oh oooh ihh uuh ohh ih iiih ihhh ih aaah uuh aaah ahhh eeeh ihh uuuh,1
uuuh ohhh uuuh ihhh ehhh ah eh eeeh ooh eeh oh eeh aaah ihhh aaah eeh,0
uuuh eeeh eeeh ehh ooh ihhh eeeh ahh uh uuh ah uh ooh eeeh ihh eeh uuh eh iih uhh aaah uhhh oooh iiih ih uuuh uuh ohh eeh,2
ihh eeh ehhh uhh ooh ehhh uh oh ah aah ahh uh ihh iih uh ihhh uuuh eh eeh oooh ooh ahhh,0
uh iiih ehh aaah ehhh eeeh uuuh iih ahh ehhh ehhh uuuh aah ahh oooh aah eh uh eeh ih uuh uuh ohhh,2
ahh ahh ooh eeeh ahh uuh uuh ahhh eeh ohhh ih uh uuuh ahh,2
ohhh ohh uhhh eeh iih iiih iih ohh eh ehh uuuh ihh ohh oooh ahhh uhh ahh ooh ih oooh ahh ihh ohhh ih,0
ihhh uhhh oooh ih ih uhhh ohhh ahh uhh ooh ahh uhhh,2
ohhh ehhh uhhh uuuh ihh eeeh,0
ehh uhh ihhh ahhh uh,1
uh ihhh ohh uhhh ahh eeeh aaah eh oh ehhh uuuh eh ohh ihhh ohhh ah ehh uh ihhh oooh eeh eh ohh ehh uhh,2
uhhh eeh eh ohhh ihhh ehh uhhh ahhh ahhh ih uh uh ih ahhh uhhh aaah ihh iiih oh uuh ehhh ehhh iih eeh ehhh ihhh aaah ahh ih ahhh,0
uh uhhh oh uuh oooh ihh uhhh ehh oooh ooh ah uh uuh iih ahh iiih oooh uhhh ihhh oh eeh oh aaah uh uhhh eeh ehhh aaah ooh,0
ooh uuh uhhh ehhh ahhh eeh ihhh eeeh aaah ohhh eeh uuh ah ihhh ehhh ohhh ah aaah uuh uhh ihhh iiih eeeh oh,2
uh ooh ahh uh ahhh eeeh uuuh ahhh ehhh ehh iih ihh ah oooh iiih iiih uuh ehhh uuuh iiih,0
ihh ohhh aah ih ih oh uh ooh ahhh ooh iih uhh eeh ihh ehh uh uuuh ahhh iih,0
uuuh aaah aaah ohhh uhhh ihhh ihhh ehhh ahh uhh ohh uhhh ihhh ehhh eh ahh aah ihhh,2
ehhh ohhh uh eeh ohhh uh uh uhhh oooh uhh ohhh ooh uuh eh ahhh ooh ohhh ih ihhh ooh ahhh ih ohh ih eh iih,1
iih uhhh aah iiih oh ih ihh ohhh eh iih oh ohh ehhh oh oh eeh ah ohh iiih aaah oh ahh ehhh oooh ih,0
eh uuuh ihhh uuh aah aah eeh ahhh ehh ah uh eeeh eeh oh ah iih eeeh ahhh uhh eeeh oh ihhh eeh iih uuuh ohhh uh uuuh eh,0
ahh uhh aaah ah ohhh uhh oooh uuh uhh iih aah iiih ihh uhh ehhh iiih ihhh ohh,2
uuh iih eh aaah ihhh ehhh eh ihhh iiih ehh oooh,2
oooh ohhh iih oh ehh uhh ooh ah ooh ehh aah ihhh ah eeeh ohhh ihh eeh ahhh eeeh oh iiih uh,0
ahh uh ohh eeeh eeeh oooh oooh ahhh uhhh aaah ooh,1
ohhh eeh ooh iih ehh uhh oooh uuuh ahhh uh ih oooh iih aaah ahh ohh oooh oh,0
uh ehhh ih ooh uhhh uuuh uh uh aah ahh uhh eeeh aaah aah eeeh ohh iih,2
ahhh uh uuuh ohhh uuh uuh eh,1
ihhh ehhh ahhh ihh oh iih,0
oooh eeh uuuh iiih uuh aah,1
ihhh iih oh ohh oooh uuh uuuh iiih ohh,2
eh aah oooh eeeh ohh ih ihh,2
uuh ohhh aah ohhh ooh ah eeh ohh uhhh ehhh iiih ih ihhh aah ehhh ihh ehh uh uhhh oh uhhh eeh aah eeeh uhh ohhh ihhh ah ohh ohhh,1
ehhh aaah ihhh ooh eeeh,2
uh ihhh uuuh ihh uuuh ohh aaah ooh uhhh ooh eeh ahhh ihhh iiih oh eeh iih,0
oh ih uuuh ihhh uhhh uh ooh uhhh ohhh ehhh oh eeh uuh ehh uh,0
aaah uuh ihhh iih uh ohh ohh oh ahh ah oh eh,1
ih uuuh ahh ah uh aaah ih iiih aah ehh aah eeeh uhhh ahhh eh ehh,1
iih ehhh uuuh ahh oh ohh eeeh ahh aah eeeh,2
ohhh aah aaah uh ih aah ahh ihh,1
uh ah iih ooh uuuh ihhh eh ooh ohh eeh oh ohh eeeh eeh eeh oooh ah ih ahhh aaah iih ehhh uhh ih ooh,1
uhh ohhh eeh ah uuh oh ahh eh ihhh uuuh oooh oooh ehhh ooh uhhh ohh ehh,1
aaah ah ooh uh uhh ah eeh eeeh ihh ohh ehh uuuh uuh uuh ohhh iiih,0
ooh ahh ahh ihhh ooh ihh oh ooh uh ihh uhh ohhh aah uuh aah,2
uh ihh uuuh ohh aaah uh uh oooh uuh uuuh ahh ehhh iih ooh ah,0
eh iiih ah uhhh ohh ih oh eeeh eh ehh,2
oooh ooh ehh oooh eeeh ah ehhh ohh uh ooh ih ahhh uhhh iiih uuh ohh ohh,2
aah eeeh iih uuuh ihhh oh eeeh uuuh eeeh iiih uuuh eeh eeh ohhh uh,0
ehh uuuh ohh iih ohh ihhh ehhh ehh uuh oh ehhh ehhh eeh uuh ahhh iiih ohh ah oh,2
ehh ohhh uuh eeh ahhh ehhh ahhh aah ohh eeeh ih iih,1
uuh oooh oh ihhh uhhh ehh eeh uuh,0
ihh iiih ehhh ihhh eh eh ehh ah oh eeh eeeh,2
ih eeh oooh ohh oooh ehh uuh eeeh ahhh uhh ahh iih eh aah ahhh aaah iiih ihhh uhhh ahhh ahh iiih iih ahh uh uhhh ehhh uhhh,1
ah eeh ohh aaah iih uhhh uhh ohh oooh eeh oooh oh eh uh aah uhh iiih ah uuuh ahhh ehh ahhh uuh,0
ohhh ih ih ahhh ahhh uh ahh eeh ah aaah ah uh uhh uhhh iih aah uuh ehhh eeh uhh eeeh ihh uuuh ooh eeh oooh oooh,0
iiih uh ah aaah aah iiih ihhh oooh ehhh uhhh ehhh ohhh oh ohh ihh eeh ehh,0
ah ahhh aaah ooh eeeh oh ahh oooh ahh ihhh,1
ohhh eh ooh eeeh eh uuuh uhh oh ohh ih oh ah uuh uuuh ih uhh,2
ihh uuuh ihh uhhh ehh iiih oooh ih ih oh oooh ih iiih ah ohh ihh ehhh ooh,0
uhh ih uhh ehhh ohh iiih ooh eeh ehhh ihhh oh ihhh ih uh ohh ooh ahh iiih aah uuuh uuh oh ooh,2
ihh eeh ooh ihh ooh eeh ehh eeh ohh ihhh eeeh ohhh iih ahh,0
ohhh uuuh ohhh eeeh iiih iih ihh ahh ehh aaah iiih iih aaah ih ahhh eh oh iih eeh uh eeh iih ah ihhh,0
uuuh uuh oooh ohh eeeh ihh ohh uhhh eeeh,2
